date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:57:18	16128/16128	---M--	200	added ('OK')	application/octet-stream	etag:0x8D780E1E5E0117F	https://blob.contato.io/machine-user-images/dropshipping-icon-250x250-img-1003021-20191214190640.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/dropshipping-icon-250x250-img-1003021-20191214190640.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:19	106881/106881	---M--	200	added ('OK')	application/octet-stream	etag:0x8D73393BCCB8E49	https://blob.contato.io/machine-user-images/dsse71f0182ed04206cb78bd7ceb2d9f4f-img-1003021-20190907100310.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/dsse71f0182ed04206cb78bd7ceb2d9f4f-img-1003021-20190907100310.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:19	512013/512013	---M--	200	added ('OK')	application/octet-stream	etag:0x8D734980D0B68E1	https://blob.contato.io/machine-user-images/FORNECEDORES-DAS-GRIFES-7-img-1003021-20181207192326-img-1003021-20190908170635.jpg	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/FORNECEDORES-DAS-GRIFES-7-img-1003021-20181207192326-img-1003021-20190908170635.jpg	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:19	65773/65773	---M--	200	added ('OK')	application/octet-stream	etag:0x8D78D4BB27FE472	https://blob.contato.io/machine-user-images/dropshipping-modelo-de-negocio-1024x576-img-1003021-20191230141414.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/dropshipping-modelo-de-negocio-1024x576-img-1003021-20191230141414.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:19	296165/296165	---M--	200	added ('OK')	application/octet-stream	etag:0x8D78D51C7857EDF	https://blob.contato.io/machine-user-images/Design-sem-nome-17-img-1003021-20191230145746.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/Design-sem-nome-17-img-1003021-20191230145746.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:20	23344/23344	---M--	200	added ('OK')	application/octet-stream	etag:0x8D775BEA77FCB1E	https://blob.contato.io/machine-user-images/bot%c3%a3o-black-2-1-img-1003021-20191104160250-img-1003021-20191130145640.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/bot%c3%a3o-black-2-1-img-1003021-20191104160250-img-1003021-20191130145640.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:20	12851/12851	---M--	200	added ('OK')	application/octet-stream	etag:0x8D780AD0E85CBBB	https://blob.contato.io/machine-user-images/pff-img-1003021-20191214124825.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/pff-img-1003021-20191214124825.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:20	64829/64829	---M--	200	added ('OK')	application/octet-stream	etag:0x8D775CD2FE8A33B	https://blob.contato.io/machine-user-images/250x250-img-1003021-20191130164042.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/250x250-img-1003021-20191130164042.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:21	4250/4250	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2005:57:30%20GMT	https://www.listadefornecedoresoficial.com/cdn-cgi/l/email-protection	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/cdn-cgi/l/email-protection.html	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:21	12642/12642	---M--	200	added ('OK')	application/octet-stream	etag:0x8D65C8C8287418D	https://blob.contato.io/machine-user-images/PROMO%c3%87%c3%83O-DE-R497-POR-R97-4-img-1003021-20181207193947.png	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/PROMO%c3%87%c3%83O-DE-R497-POR-R97-4-img-1003021-20181207193947.png	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:22	14621/14621	---MCZ	200	added ('OK')	text/html	date:Sun,%2008%20Nov%202020%2005:57:32%20GMT	https://www.listadefornecedoresoficial.com/politica-de-privacidade	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/politica-de-privacidade.html	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:23	505713/505713	---M--	200	added ('OK')	application/octet-stream	etag:0x8D6133EAD29E4B1	https://blob.contato.io/machine-user-images/ALEXANDRE---NR30DIAS-img-1003021-20180905114233.jpg	C:/Meus%20Sites/listablack/blob.contato.io/machine-user-images/ALEXANDRE---NR30DIAS-img-1003021-20180905114233.jpg	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:24	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f985973-4d7%22	https://www.listadefornecedoresoficial.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
02:57:24	26372/26372	---M-Z	200	added ('OK')	application/javascript	etag:%22248428614b2d61:0%22	https://www.listadefornecedoresoficial.com/builder/elements/scripts/bootstrap.min.js	C:/Meus%20Sites/listablack/www.listadefornecedoresoficial.com/builder/elements/scripts/bootstrap.min.js	(from https://www.listadefornecedoresoficial.com/black-friday-97-reais)
